X_POS_PLOT DENSITY VELOCITY_X PRESSURE
6.450000000000000178e-01 1.916074264678643280e+00 1.597144889782844324e+01 1.883498482505236752e+05
6.550000000000000266e-01 1.873417461859238076e+00 2.430478223116182335e+01 1.825056825023543788e+05
6.650000000000000355e-01 1.831523785686580252e+00 3.263811556449515905e+01 1.768176401754650287e+05
6.750000000000000444e-01 1.790382950852438260e+00 4.097144889782849475e+01 1.712822300587488862e+05
6.850000000000000533e-01 1.749984764882500210e+00 4.930478223116182335e+01 1.658960236785222660e+05
6.950000000000000622e-01 1.710319127715512977e+00 5.763811556449515905e+01 1.606556544491482491e+05
7.049999999999999600e-01 1.671376031282432395e+00 6.597144889782839527e+01 1.555578168313629285e+05
7.149999999999999689e-01 1.633145559085552367e+00 7.430478223116178071e+01 1.505992654982652457e+05
7.249999999999999778e-01 1.595617885777667055e+00 8.263811556449510931e+01 1.457768145089413738e+05
7.349999999999999867e-01 1.558783276741190882e+00 9.097144889782845212e+01 1.410873364896802523e+05
7.449999999999999956e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
7.550000000000000044e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
7.650000000000000133e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
7.750000000000000222e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
7.850000000000000311e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
7.950000000000000400e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.050000000000000488e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.150000000000000577e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.250000000000000666e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.349999999999999645e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.449999999999999734e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.549999999999999822e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.649999999999999911e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.750000000000000000e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.850000000000000089e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
8.950000000000000178e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.050000000000000266e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.150000000000000355e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.250000000000000444e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.350000000000000533e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.450000000000000622e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.550000000000000711e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.649999999999999689e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.749999999999999778e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.849999999999999867e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
9.949999999999999956e-01 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
1.005000000000000115e+00 1.551608179649565100e+00 9.261301475943170658e+01 1.401789770179879270e+05
